SampleID	Type	Site	Region	Latitude	Longitude
NR3_R1	Sample	NR3	Red Sea	24.897	36.202
NR3_R2	Sample	NR3	Red Sea	24.897	36.202
NR3_R3	Sample	NR3	Red Sea	24.897	36.202
SR3_R1	Sample	SR3	Red Sea	18.973	39.549
SR3_R2	Sample	SR3	Red Sea	18.973	39.549
SR3_R3	Sample	SR3	Red Sea	18.973	39.549
SR4_R1	Sample	SR4	Red Sea	17.737	40.357
SR4_R2	Sample	SR4	Red Sea	17.737	40.357
SR4_R3	Sample	SR4	Red Sea	17.737	40.357
SR5_R1	Sample	SR5	Red Sea	16.701	41.204
SR5_R2	Sample	SR5	Red Sea	16.701	41.204
SR5_R3	Sample	SR5	Red Sea	16.701	41.204
PCR	Control				
Extraction	Control				