ASV,DR7_R1,DR7_R2,DR7_R3,CAT1_R1,CAT1_R2,CAT1_R3,JD01_R1,JD01_R2,JD01_R3,JJ1_R1,JJ1_R2,JJ1_R3,FS11_R1,FS11_R2,FS11_R3
ASV_1,54,43,54,0,0,0,13984,18254,3296,0,0,0,0,0,0
ASV_2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
ASV_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_4,0,22,0,50851,13520,75185,18,3,0,0,52,0,0,0,0
ASV_5,171,656,508,0,0,0,63,171,0,0,0,0,0,0,0
ASV_6,25,18,51,0,0,0,7,79,17,0,0,0,0,0,0
ASV_7,0,0,0,0,0,0,150,268,0,0,0,0,0,0,0
ASV_8,3,9,9,0,0,0,34,4656,0,0,0,0,0,0,0
ASV_9,0,0,0,0,0,0,4,17838,198,0,0,0,3,0,0
ASV_10,0,0,0,8659,1423,18251,0,0,0,0,0,0,0,0,0
ASV_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_12,828,7963,982,0,0,0,60,2,75,0,143,0,0,768,0
ASV_13,0,0,0,30084,1001,84711,0,0,0,0,0,0,0,0,0
ASV_14,0,0,0,0,0,0,39618,37349,53537,0,0,0,0,0,0
ASV_15,0,0,0,0,0,0,0,69,5019,0,0,0,0,0,0
ASV_16,0,81,90,0,0,0,384,1147,1,0,0,0,0,0,0
ASV_17,0,0,0,47370,27974,598,0,0,0,0,0,0,0,0,0
ASV_18,31,0,0,46998,5019,2697,37,327,0,299,1266,915,76,0,678
ASV_19,0,0,0,0,0,0,0,3261,0,0,0,0,0,0,0
ASV_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_21,0,0,0,0,0,0,0,0,0,78,374,1587,0,0,0
ASV_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_23,0,20,0,31,0,0,0,43,0,0,0,0,0,0,0
ASV_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_27,0,0,0,0,0,0,10,12,9,0,0,0,0,0,0
ASV_28,0,0,0,17838,6370,27872,0,0,0,0,0,0,0,0,0
ASV_29,0,0,0,3580,2128,387,0,0,0,48271,14336,51614,0,0,0
ASV_30,0,0,0,0,0,0,2254,953,0,0,0,0,29,0,0
ASV_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_32,13,20,51,0,0,0,0,0,1534,0,0,0,0,0,0
ASV_33,7299,45,4019,155,0,1,0,0,2082,0,0,0,0,0,0
ASV_34,40,10,53,11,0,502,337,1030,1376,0,0,0,22,0,151
ASV_35,66,0,91,0,0,0,90,1743,0,0,0,0,508,287,12791
ASV_36,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
ASV_37,0,0,0,290,0,179,0,0,0,0,0,0,0,0,0
ASV_38,0,0,0,281,323,129,166,304,27,1625,3958,1257,2360,5073,875
ASV_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_40,3676,0,1650,0,0,0,0,1644,0,0,0,0,70,0,7
ASV_41,512,518,0,0,0,0,0,0,195,0,0,0,0,0,0
ASV_42,0,0,0,0,0,0,0,104,14,0,0,0,0,0,0
ASV_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_45,1,1,0,0,0,0,338,664,0,0,0,0,443,5724,2868
ASV_46,0,0,0,0,0,0,223,171,105,0,0,0,22,0,0
ASV_47,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
ASV_48,0,0,0,773,439,4046,6681,7707,0,0,451,0,0,0,1
ASV_49,0,8,0,20846,17306,13883,2,11,0,0,1382,481,0,0,0
ASV_50,0,0,0,0,0,0,56,70,1256,0,0,0,0,0,0
ASV_51,0,0,0,4431,3242,5760,2903,3466,0,0,0,0,0,0,0
ASV_52,0,0,0,0,0,0,202,265,0,0,0,0,0,0,0
ASV_53,0,0,0,22,0,17,0,0,0,0,0,0,0,0,0
ASV_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_55,0,14,0,0,0,0,498,1196,126,0,0,0,0,740,0
ASV_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_59,0,22,0,0,0,0,210,262,2,0,0,0,0,0,0
ASV_60,191,56,362,0,0,0,40,0,41,3329,344,2367,1123,592,1600
ASV_61,0,0,0,184,712,724,40,10,73,9372,6742,5381,509,0,4208
ASV_62,0,0,0,0,0,0,0,0,0,0,0,0,905,1094,4454
ASV_63,0,0,0,18,0,2310,0,0,0,0,0,0,0,0,0
ASV_64,2328,0,1729,0,0,0,0,0,0,0,0,0,0,0,0
ASV_65,0,0,0,796,0,182,0,2,1,1378,421,759,1140,0,0
ASV_66,0,0,0,530,0,0,0,0,0,1823,4252,1002,5914,1131,2781
ASV_67,0,0,0,0,0,7,0,0,0,0,0,41,0,0,0
ASV_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_69,6,0,41,0,0,0,19,21,116,57,12,705,1486,10210,2367
ASV_70,0,0,15,0,0,0,295,1560,0,0,0,5,0,0,0
ASV_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_75,0,0,0,0,0,3,2,0,0,0,28,0,80,6,0
ASV_76,839,35,12,0,0,0,231,369,0,0,0,0,0,0,0
ASV_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_78,0,0,0,0,0,0,797,610,1219,0,0,0,0,0,0
ASV_79,4763,0,210,0,0,0,0,43,0,0,0,0,0,0,0
ASV_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_82,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0
ASV_83,0,0,0,0,0,0,897,766,7,0,0,0,0,0,0
ASV_84,0,0,0,59,0,0,0,0,0,1307,6519,33,167,859,148
ASV_85,0,0,0,0,0,0,0,0,0,382,866,0,5544,0,178
ASV_86,1590,279,518,0,0,0,1403,393,107,0,0,0,0,69,0
ASV_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_90,0,36,0,0,0,0,516,1185,88,0,0,0,0,0,0
ASV_91,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
ASV_92,0,0,0,0,0,0,0,0,0,0,0,0,4018,2249,4312
ASV_93,0,0,0,0,0,0,11,57,112,0,0,0,187,36,126
ASV_94,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
ASV_95,0,0,0,52,63,631,277,776,0,560,0,0,3121,1573,738
ASV_96,0,0,16,8,0,2,2350,2408,58,0,0,0,0,138,6
ASV_97,0,0,0,0,0,0,7,1714,3,0,0,0,0,0,0
ASV_98,0,0,0,0,0,0,13,28,0,0,0,0,0,1876,251
ASV_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_100,0,0,0,102,47,1485,0,0,13,38,32,0,277,340,0